TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.4544,0.3328,0.3822,0.37839999999999996,0.31,0.3822,0.3328,0.3556,0.3556,0.31,0.4278,0.37839999999999996,0.4544,0.3822,0.4468
0.38,0.06,0.19,0.18,0.0,0.19,0.06,0.12,0.12,0.0,0.31,0.18,0.38,0.19,0.36
0.19279999999999997,0.1864,0.1864,0.18,0.5256000000000001,0.2952,0.276,0.2952,0.18,0.2952,0.2952,0.2952,0.3784,0.276,0.4744
0.02,0.01,0.01,0.0,0.54,0.18,0.15,0.18,0.0,0.18,0.18,0.18,0.31,0.15,0.46
0.15919999999999998,0.15209999999999999,0.15209999999999999,0.216,0.145,0.1876,0.15209999999999999,0.1805,0.145,0.1805,0.2586,0.2586,0.2586,0.2444,0.358
0.02,0.01,0.01,0.1,0.0,0.06,0.01,0.05,0.0,0.05,0.16,0.16,0.16,0.14,0.3
0.3548,0.32400000000000007,0.35040000000000004,0.36360000000000003,0.28,0.2932,0.32400000000000007,0.33720000000000006,0.3064,0.36360000000000003,0.4252,0.456,0.3768,0.5484,0.4736
0.17,0.1,0.16,0.19,0.0,0.03,0.1,0.13,0.06,0.19,0.33,0.4,0.22,0.61,0.44
0.1784,0.19180000000000003,0.19180000000000003,0.2722,0.165,0.19180000000000003,0.19180000000000003,0.165,0.165,0.165,0.2722,0.2722,0.23870000000000002,0.25880000000000003,0.37270000000000003
0.02,0.04,0.04,0.16,0.0,0.04,0.04,0.0,0.0,0.0,0.16,0.16,0.11,0.14,0.31
0.24,0.31,0.17,0.0,0.0,0.04,0.01,0.35,0.13,0.21,0.35,0.21,0.04,0.03,0.41
0.422,0.44299999999999995,0.40099999999999997,0.35,0.35,0.362,0.353,0.45499999999999996,0.389,0.41300000000000003,0.45499999999999996,0.41300000000000003,0.362,0.359,0.473
0.15,0.32,0.26,0.0,0.16,0.32,0.54,0.0,0.06,0.06,0.0,0.06,0.54,0.09,0.53
0.4159999999999999,0.4568,0.4424,0.38,0.4184,0.4568,0.5096,0.38,0.39440000000000003,0.39440000000000003,0.38,0.39440000000000003,0.5096,0.40160000000000007,0.5072
0.02,0.01,0.06,0.0,0.16,0.18,0.32,0.18,0.06,0.12,0.18,0.12,0.02,0.09,0.33
0.16879999999999998,0.16190000000000002,0.1964,0.155,0.26539999999999997,0.2792,0.3758,0.2792,0.1964,0.2378,0.2792,0.2378,0.16879999999999998,0.21710000000000002,0.38270000000000004
0.4946,0.5081,0.512,0.4904,0.515,0.512,0.5081,0.5048,0.5048,0.515,0.503,0.4904,0.4946,0.512,0.497
0.68,0.23,0.1,0.82,0.0,0.1,0.23,0.34,0.34,0.0,0.4,0.82,0.68,0.1,0.6
0.22,0.1,0.16,0.0,0.0,0.22,0.1,0.33,0.06,0.4,0.33,0.4,0.22,0.16,0.37
0.36840000000000006,0.31200000000000006,0.3402,0.265,0.265,0.36840000000000006,0.31200000000000006,0.42010000000000003,0.2932,0.453,0.42010000000000003,0.453,0.36840000000000006,0.3402,0.4389
0.3985,0.3985,0.3985,0.325,0.325,0.3985,0.3985,0.325,0.325,0.325,0.325,0.325,0.3985,0.3985,0.46849999999999997
0.21,0.21,0.21,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.41
0.44,0.3872,0.5024,0.38,0.4304,0.44,0.4159999999999999,0.4328,0.4952,0.44,0.4328,0.44,0.3896,0.5024,0.4784
0.25,0.03,0.51,0.0,0.21,0.25,0.15,0.22,0.48,0.25,0.22,0.25,0.04,0.51,0.41
0.2194,0.2804,0.2804,0.195,0.2682,0.41459999999999997,0.29869999999999997,0.3231,0.195,0.3231,0.3231,0.3231,0.3414,0.29869999999999997,0.378
0.04,0.14,0.14,0.0,0.12,0.36,0.17,0.21,0.0,0.21,0.21,0.21,0.24,0.17,0.3
0.04,0.18,0.18,0.0,0.25,0.04,0.18,0.22,0.0,0.22,0.22,0.22,0.21,0.18,0.28
0.2286,0.3112,0.3112,0.205,0.3525,0.2286,0.3112,0.3348,0.205,0.3348,0.3348,0.3348,0.32889999999999997,0.3112,0.37020000000000003
0.18,0.21,0.21,0.22,0.0,0.21,0.21,0.0,0.0,0.0,0.22,0.22,0.44,0.04,0.39
0.3816,0.39270000000000005,0.39270000000000005,0.39640000000000003,0.315,0.39270000000000005,0.39270000000000005,0.315,0.315,0.315,0.39640000000000003,0.39640000000000003,0.4778,0.3298,0.4593
0.36,0.0,0.18,0.17,0.0,0.18,0.0,0.18,0.18,0.0,0.37,0.17,0.36,0.18,0.39
0.4426,0.295,0.3688,0.36469999999999997,0.295,0.3688,0.295,0.3688,0.3688,0.295,0.4467,0.36469999999999997,0.4426,0.3688,0.45489999999999997
0.4312,0.285,0.285,0.3495,0.285,0.3581,0.3667,0.3581,0.285,0.3581,0.4484,0.4312,0.4312,0.285,0.4656
0.34,0.0,0.0,0.15,0.0,0.17,0.19,0.17,0.0,0.17,0.38,0.34,0.34,0.0,0.42
0.01,0.0,0.0,0.1,0.0,0.05,0.17,0.06,0.0,0.06,0.16,0.16,0.16,0.17,0.31
0.15209999999999999,0.145,0.145,0.216,0.145,0.1805,0.2657,0.1876,0.145,0.1876,0.2586,0.2586,0.2586,0.2657,0.3651
0.32,0.0,0.0,0.17,0.0,0.18,0.19,0.18,0.0,0.18,0.37,0.37,0.36,0.83,0.56
0.428,0.3,0.3,0.368,0.3,0.372,0.376,0.372,0.3,0.372,0.448,0.448,0.444,0.632,0.524
0.01,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.15,0.17,0.37
0.1766,0.17,0.17,0.2756,0.17,0.17,0.2822,0.17,0.17,0.17,0.2756,0.2756,0.269,0.2822,0.4142
0.38,0.06,0.18,0.0,0.0,0.38,0.06,0.32,0.12,0.19,0.32,0.19,0.38,0.18,0.38
0.4544,0.3328,0.37839999999999996,0.31,0.31,0.4544,0.3328,0.4316,0.3556,0.3822,0.4316,0.3822,0.4544,0.37839999999999996,0.4544
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.05,0.2
0.1,0.1,0.14,0.1,0.1,0.1,0.1,0.1,0.14,0.14,0.1,0.14,0.1,0.14,0.26
0.16,0.0,0.05,0.0,0.0,0.16,0.0,0.17,0.06,0.11,0.17,0.11,0.16,0.05,0.28
0.27899999999999997,0.175,0.20750000000000002,0.175,0.175,0.27899999999999997,0.175,0.2855,0.214,0.2465,0.2855,0.2465,0.27899999999999997,0.20750000000000002,0.357
0.4,0.39,0.06,0.33,0.0,0.06,0.02,0.33,0.33,0.0,0.0,0.33,0.39,0.82,0.57
