SIGMA,bit_type,bit,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.17,1.0,0.9463722397476341,0.04,0.01,0.01,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.03,0.04,0.01,0.15
0.17,2.0,0.05362776025236593,0.04,0.01,0.01,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.03,0.04,0.01,0.15
0.85,1.0,0.7792207792207793,0.2,0.55,0.15,0.09,0.07,0.05,0.31,0.48,0.37,0.09,0.37,0.0,0.08,0.2,0.45
0.85,2.0,0.22077922077922074,0.2,0.55,0.15,0.09,0.07,0.05,0.31,0.48,0.37,0.09,0.37,0.0,0.08,0.2,0.45
0.46,1.0,0.8670520231213873,0.05,0.25,0.1,0.0,0.01,0.03,0.16,0.21,0.14,0.07,0.21,0.07,0.04,0.02,0.32
0.46,2.0,0.1329479768786127,0.05,0.25,0.1,0.0,0.01,0.03,0.16,0.21,0.14,0.07,0.21,0.07,0.04,0.02,0.32
0.93,1.0,0.7633587786259541,0.03,0.58,0.35,0.0,0.16,0.12,0.79,0.74,0.18,0.5,0.74,0.5,0.03,0.54,0.56
0.93,2.0,0.23664122137404586,0.03,0.58,0.35,0.0,0.16,0.12,0.79,0.74,0.18,0.5,0.74,0.5,0.03,0.54,0.56
0.33,1.0,0.9009009009009008,0.01,0.12,0.12,0.0,0.0,0.01,0.12,0.11,0.0,0.11,0.11,0.11,0.01,0.12,0.26
0.33,2.0,0.0990990990990992,0.01,0.12,0.12,0.0,0.0,0.01,0.12,0.11,0.0,0.11,0.11,0.11,0.01,0.12,0.26
0.31,2.0,0.09365558912386707,0.13,0.13,0.05,0.08,0.06,0.05,0.07,0.08,0.08,0.0,0.0,0.08,0.07,0.05,0.18
0.31,1.0,0.9063444108761329,0.13,0.13,0.05,0.08,0.06,0.05,0.07,0.08,0.08,0.0,0.0,0.08,0.07,0.05,0.18
2.31,2.0,0.4350282485875706,0.39,0.98,1.0,0.0,0.0,0.47,0.98,0.43,0.09,0.53,0.43,0.53,0.47,0.12,0.63
2.31,1.0,0.5649717514124294,0.39,0.98,1.0,0.0,0.0,0.47,0.98,0.43,0.09,0.53,0.43,0.53,0.47,0.12,0.63
0.18,2.0,0.05660377358490576,0.04,0.04,0.01,0.03,0.0,0.01,0.04,0.03,0.03,0.0,0.0,0.03,0.04,0.01,0.14
0.18,1.0,0.9433962264150942,0.04,0.04,0.01,0.03,0.0,0.01,0.04,0.03,0.03,0.0,0.0,0.03,0.04,0.01,0.14
1.17,2.0,0.28057553956834524,0.01,0.88,0.38,0.04,0.33,1.0,0.13,0.13,0.39,0.55,0.09,0.5,0.55,0.48,0.6
1.17,1.0,0.7194244604316548,0.01,0.88,0.38,0.04,0.33,1.0,0.13,0.13,0.39,0.55,0.09,0.5,0.55,0.48,0.6
0.66,1.0,0.819672131147541,0.03,0.28,0.28,0.14,0.37,0.63,0.15,0.32,0.0,0.32,0.18,0.18,0.93,0.15,0.55
0.66,2.0,0.180327868852459,0.03,0.28,0.28,0.14,0.37,0.63,0.15,0.32,0.0,0.32,0.18,0.18,0.93,0.15,0.55
1.05,2.0,0.2592592592592593,0.01,0.53,0.53,0.21,0.22,0.04,0.67,0.49,0.0,0.49,0.73,0.73,0.04,0.74,0.56
1.05,1.0,0.7407407407407407,0.01,0.53,0.53,0.21,0.22,0.04,0.67,0.49,0.0,0.49,0.73,0.73,0.04,0.74,0.56
0.61,1.0,0.8310249307479224,0.01,0.34,0.04,0.04,0.42,0.57,1.0,1.0,0.39,0.51,1.0,0.56,0.16,0.58,0.64
0.61,2.0,0.16897506925207761,0.01,0.34,0.04,0.04,0.42,0.57,1.0,1.0,0.39,0.51,1.0,0.56,0.16,0.58,0.64
0.46,2.0,0.1329479768786127,0.01,0.05,0.27,0.0,0.36,0.58,0.58,0.52,0.23,0.27,0.52,0.27,1.0,0.26,0.57
0.46,1.0,0.8670520231213873,0.01,0.05,0.27,0.0,0.36,0.58,0.58,0.52,0.23,0.27,0.52,0.27,1.0,0.26,0.57
1.91,2.0,0.38900203665987787,0.31,0.64,0.89,0.0,0.03,1.0,0.25,0.26,0.17,0.09,0.26,0.09,1.0,0.21,0.72
1.91,1.0,0.6109979633401221,0.31,0.64,0.89,0.0,0.03,1.0,0.25,0.26,0.17,0.09,0.26,0.09,1.0,0.21,0.72
0.79,1.0,0.7915567282321899,0.08,0.26,0.49,0.0,0.0,0.11,0.22,0.14,0.23,0.38,0.14,0.38,0.11,0.46,0.42
0.79,2.0,0.20844327176781008,0.08,0.26,0.49,0.0,0.0,0.11,0.22,0.14,0.23,0.38,0.14,0.38,0.11,0.46,0.42
0.45,2.0,0.13043478260869557,0.01,0.15,0.05,0.0,0.36,0.62,0.85,0.83,0.2,0.57,0.83,0.57,1.0,0.56,0.62
0.45,1.0,0.8695652173913044,0.01,0.15,0.05,0.0,0.36,0.62,0.85,0.83,0.2,0.57,0.83,0.57,1.0,0.56,0.62
0.31,2.0,0.09365558912386707,0.15,0.0,0.01,0.09,0.19,1.0,1.0,1.0,0.01,1.0,0.96,0.95,0.69,1.0,0.77
0.31,1.0,0.9063444108761329,0.15,0.0,0.01,0.09,0.19,1.0,1.0,1.0,0.01,1.0,0.96,0.95,0.69,1.0,0.77
1.49,2.0,0.33184855233853006,0.5,1.0,0.31,0.27,1.0,0.03,0.3,0.96,0.61,0.27,0.61,0.0,0.74,0.5,0.59
1.49,1.0,0.6681514476614699,0.5,1.0,0.31,0.27,1.0,0.03,0.3,0.96,0.61,0.27,0.61,0.0,0.74,0.5,0.59
0.98,2.0,0.24623115577889443,0.04,0.49,0.49,0.0,0.0,0.04,0.46,0.45,0.0,0.45,0.45,0.45,0.04,0.49,0.53
0.98,1.0,0.7537688442211056,0.04,0.49,0.49,0.0,0.0,0.04,0.46,0.45,0.0,0.45,0.45,0.45,0.04,0.49,0.53
0.29,1.0,0.9118541033434651,0.03,0.07,0.01,0.0,0.61,1.0,1.0,0.95,0.06,1.0,0.95,1.0,0.32,1.0,0.74
0.29,2.0,0.08814589665653494,0.03,0.07,0.01,0.0,0.61,1.0,1.0,0.95,0.06,1.0,0.95,1.0,0.32,1.0,0.74
