SIGMA,bit_type,bit,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.21,1,0.9345794392523364,0.01,0.01,0.01,0,0.51,0.01,0.41,0,0,0,0,0,0.5,0.01,0.75
0.21,2,0.06542056074766356,0.01,0.01,0.01,0,0.51,0.01,0.41,0,0,0,0,0,0.5,0.01,0.75
0.16,1,0.949367088607595,0.01,0.01,0.01,0,0.53,0.01,0.54,0,0,0,0,0,0.54,0.01,0.79
0.16,2,0.050632911392405,0.01,0.01,0.01,0,0.53,0.01,0.54,0,0,0,0,0,0.54,0.01,0.79
0.14,1,0.9554140127388535,0.01,0.01,0.01,0,0.56,0.01,0.54,0,0,0,0,0,0.55,0.01,0.8
0.14,2,0.04458598726114649,0.01,0.01,0.01,0,0.56,0.01,0.54,0,0,0,0,0,0.55,0.01,0.8
0.2,1,0.9375,0.01,0.01,0.01,0,0.52,0.01,0.41,0,0,0,0,0,0.53,0.01,0.76
0.2,2,0.0625,0.01,0.01,0.01,0,0.52,0.01,0.41,0,0,0,0,0,0.53,0.01,0.76
0.27,1,0.9174311926605504,0.01,0.01,0.01,0,0.25,0.01,0.54,0,0,0,0,0,0.24,0.01,0.69
0.27,2,0.0825688073394496,0.01,0.01,0.01,0,0.25,0.01,0.54,0,0,0,0,0,0.24,0.01,0.69
0.25,1,0.9230769230769231,0.01,0.01,0.01,0,0.4,0.01,0.01,0,0,0,0,0,0.41,0.01,0.71
0.25,2,0.07692307692307687,0.01,0.01,0.01,0,0.4,0.01,0.01,0,0,0,0,0,0.41,0.01,0.71
0.2,1,0.9375,0.01,0.01,0.01,0,0.53,0.01,0.24,0,0,0,0,0,0.54,0.01,0.76
0.2,2,0.0625,0.01,0.01,0.01,0,0.53,0.01,0.24,0,0,0,0,0,0.54,0.01,0.76
0.27,1,0.9174311926605504,0.01,0.01,0.01,0,0.4,0.01,0.4,0,0,0,0,0,0.41,0.01,0.69
0.27,2,0.0825688073394496,0.01,0.01,0.01,0,0.4,0.01,0.4,0,0,0,0,0,0.41,0.01,0.69
0.14,1,0.9554140127388535,0.01,0.01,0.01,0,0.56,0.01,0.54,0,0,0,0,0,0.55,0.01,0.8
0.14,2,0.04458598726114649,0.01,0.01,0.01,0,0.56,0.01,0.54,0,0,0,0,0,0.55,0.01,0.8
