TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
0.39080000000000004,0.24,0.6612,0.6195999999999999,0.76,0.24,0.7392000000000001,0.7392000000000001,0.3284,0.3544,0.5988,0.526,0.41159999999999997,0.6456000000000001,0.41679999999999995
0.71,1.0,0.19,0.27,0.0,1.0,0.04,0.04,0.83,0.78,0.31,0.45,0.67,0.22,0.66
0.47209999999999996,0.345,0.345,0.40700000000000003,0.5093,0.593,0.5093,0.593,0.345,0.593,0.655,0.655,0.47209999999999996,0.5093,0.5434
0.41,0.0,0.0,0.2,0.53,0.8,0.53,0.8,0.0,0.8,1.0,1.0,0.41,0.53,0.64
0.12079999999999999,0.12869999999999998,0.12869999999999998,0.6975,0.14450000000000002,0.6422,0.3973,0.6975,0.105,0.6975,0.105,0.105,0.12079999999999999,0.12079999999999999,0.7370000000000001
0.02,0.03,0.03,0.75,0.05,0.68,0.37,0.75,0.0,0.75,0.0,0.0,0.02,0.02,0.8
0.5528,0.512,0.5,0.38,0.5744,0.5287999999999999,0.6007999999999999,0.38,0.6104,0.38,0.6104,0.62,0.5528,0.5528,0.4424
0.28,0.45,0.5,1.0,0.19,0.38,0.08,1.0,0.04,1.0,0.04,0.0,0.28,0.28,0.74
0.6725,0.2999,0.29300000000000004,0.845,0.5069,0.4931,0.6587,0.6725,0.845,0.6656,0.6725,0.6656,0.8381,0.48619999999999997,0.4724
0.25,0.79,0.8,0.0,0.49,0.51,0.27,0.25,0.0,0.26,0.25,0.26,0.01,0.52,0.54
0.11,1.0,1.0,0.01,0.07,0.03,1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.95,0.79
0.9914,-0.1299999999999999,-0.1299999999999999,1.1174,1.0417999999999998,1.0921999999999998,-0.1299999999999999,-0.1299999999999999,1.13,-0.1299999999999999,-0.1299999999999999,-0.1299999999999999,0.9914,-0.06699999999999995,0.13460000000000005
1.0,0.81,0.81,1.0,0.93,0.02,0.56,0.84,0.0,0.84,0.23,0.23,0.14,0.73,0.61
-0.2649999999999999,0.025699999999999945,0.025699999999999945,-0.2649999999999999,-0.15790000000000004,1.2344,0.4081999999999999,-0.020199999999999885,1.265,-0.020199999999999885,0.9131,0.9131,1.0508,0.14810000000000012,0.33170000000000005
0.44,0.28,0.44,0.0,0.2,0.44,0.28,0.81,0.81,0.0,0.81,0.0,0.7,0.44,0.56
0.5042,0.5154000000000001,0.5042,0.535,0.521,0.5042,0.5154000000000001,0.4783,0.4783,0.535,0.4783,0.535,0.486,0.5042,0.4958
0.26,0.66,0.66,0.13,0.17,0.66,0.41,0.0,0.0,0.0,0.13,0.13,0.26,0.41,0.56
0.6055999999999999,0.4296,0.4296,0.6628,0.6451999999999999,0.4296,0.5396,0.72,0.72,0.72,0.6628,0.6628,0.6055999999999999,0.5396,0.47359999999999997
0.18,0.04,0.07,0.0,0.1,0.07,0.14,0.04,0.04,0.0,0.04,0.0,0.18,0.18,0.29
0.3048,0.2194,0.23770000000000002,0.195,0.256,0.23770000000000002,0.2804,0.2194,0.2194,0.195,0.2194,0.195,0.3048,0.3048,0.3719
0.58,0.34,0.88,0.85,0.22,0.22,0.34,0.58,0.48,1.0,0.22,0.25,0.33,0.88,0.51
0.4368,0.6264000000000001,0.19979999999999998,0.22350000000000003,0.7212000000000001,0.7212000000000001,0.6264000000000001,0.4368,0.5158,0.10499999999999998,0.7212000000000001,0.6975,0.6343,0.19979999999999998,0.4921
0.506,0.5018,0.5033,0.5,0.515,0.5033,0.5084000000000001,0.5138,0.5138,0.515,0.4985,0.5,0.5123000000000001,0.5096,0.5006
0.3,0.44,0.39,0.5,0.0,0.39,0.22,0.04,0.04,0.0,0.55,0.5,0.09,0.18,0.48
